NOME,lat,lon,UNIDADE,CONTATO,TELEFONE,ENDERECO,colors
IFSP PIRITUBA,-23.4870045,-46.7359686,Instituto Federal,ptb.ifsp.edu.br,11 98614-0334,Av. Mutinga - 950 - 05110-000 - Jardim Libano,red
IFSP PRESIDENTE EPITÁCIO,-21.785427399999996,-52.1114539,Instituto Federal,pep.ifsp.edu.br,18 3281-9599,Rua José Ramos Júnior - 27-50 - 19470-000 - Jardim Tropical,red
IFSP REGISTRO,-24.533191600000002,-47.8691479,Instituto Federal,rgt.ifsp.edu.br,13 3828-2020,Av. Clara Gianotti de Souza - 5180 - 11900-000 - Bairro Agrochá,red
IFSP SALTO,-23.1964349,-47.3021027,Instituto Federal,slt.ifsp.edu.br,11 4602-9191,R. Rio Branco - 1780 - 13320-271 - Vila Teixeira,red
IFSP SÃO CARLOS,-21.9694546,-47.878171200000004,Instituto Federal,scl.ifsp.edu.br,16 3351-9458,"Rodovia Washington Luís - km 235, S/N - 13565-905 - Monjolinho",red
IFSP SÃO JOÃO DA BOA VISTA,-21.967168,-46.812737,Instituto Federal,sbv.ifsp.edu.br,19 3634-1100,Av Marginal - 585 - 13871-298 - Fazenda Nossa Senhora Aparecida do Jaguari,red
IFSP SÃO JOSÉ DOS CAMPOS,-23.1914063,-45.8502623,Instituto Federal,sjc.ifsp.edu.br,12 3901-4440,"Rodovia Presidente Dutra, Km 145 - s/n - 12230-002 - Jardim Diamante",red
IFSP SÃO MIGUEL PAULISTA,-23.4987794,-46.4390699,Instituto Federal,smp.ifsp.edu.br,11 2032-5416,R. Ten. Miguel Délia - 105 - 08021-090 - São Miguel Paulista,red
IFSP SÃO PAULO,-23.523877600000002,-46.622347999999995,Instituto Federal,spo.ifsp.edu.br,11 2763-7520,R. Pedro Vicente - 625 - 01109-010 - Canindé,red
IFSP CAMPUS SÃO ROQUE,-23.555122,-47.149617,Instituto Federal,srq.ifsp.edu.br,11 4719-9500,Rodovia Prefeito Quintino de Lima - 2100 - 18145-090 - Paisagem Colonial,red
IFSP SOROCABA,-23.488514000000002,-47.444493,Instituto Federal,sor.ifsp.edu.br,15 3321-0010,R. Maria Cinto de Biaggi - 130 - 18095-410 - Jardim Santa Rosália,red
IFSP SERTÃOZINHO,-21.1432954,-47.97298189999999,Instituto Federal,srt.ifsp.edu.br,16 3946-1170,R. Américo Ambrósio - 269 - 14169-263 - Jardim Canaa,red
IFSP SUZANO,-23.535609899999997,-46.3268156,Instituto Federal,szn.ifsp.edu.br,11 2146-1800,Av. Mogi das Cruzes - 1501 - 08673-010 - Parque Suzano,red
IFSP TUPÃ,-21.9233807,-50.521895,Instituto Federal,tup.ifsp.edu.br,14 3404-3551,Av. dos Universitários - 145 - 17607-220 - Jardim Ipiranga,red
IFSP VOTUPORANGA,-20.4040907,-49.9684089,Instituto Federal,vtp.ifsp.edu.br,17 3426-6990,Av. Jerônimo Figueira da Costa - 3014 - 15503-110 - Pozzobon,red
UFSCAR SÃO CARLOS,-21.984144600000004,-47.8802454,Instituto Federal,www.ufscar.br,16 3351-8111,Rodovia Washington Luís - s/n - 13565-905 - São Carlos,red
UFSCAR ARARAS,-22.311497600000003,-47.3847851,Instituto Federal,www.cca.ufscar.br,19 3543-2600,Rodovia Anhanguera - Km 174 - 13604-900 - Zona Rural,red
UFSCAR SOROCABA,-23.580077,-47.524205200000004,UFSCAR,https://universidade-aberta-ufscar-sorocaba.negocio.site/,15 3229-6000,Rodovia João Leme dos Santos - SP-264 - 18052-780 - Itinga,red
UFSCAR LAGOA DO SINO,-23.599448300000002,-48.5296291,UFSCAR,www.lagoadosino.ufscar.br,15 3256-9000,Rodovia Lauri Simões de Barros - km 12 - 18290-000 - Aracaçú,red
INSTITUTO TECNOLÓGICO DE AERONÁUTICA,-23.2108714,-45.875305499999996,ITA,www.ita.br,12 3947-6925,Praça Marechal Eduardo Gomes - 50 - 12228-900 - Vila das Acacias,red
UFABC SANTO ANDRÉ,-23.644495000000003,-46.528175,UFABC,www.ufabc.edu.br,11 4996-0001,Av. dos Estados - 5001 - 09210-580 - Bangú,red
UFABC  SÃO BERNARDO DO CAMPO,-23.6768054,-46.56404439999999,UFABC,www.ufabc.edu.br,11 2320-6120,Rua Gleise Nana - 3 - 09608-030 - Anchieta,red
FACULDADE DE TECNOLOGIA DE ADAMANTINA,-21.6889980548574,-51.0657663875934,-,http://www.fatec.edu.br/adamantina/,,Rua Paraná - 400 - CEP: 17800-000 - Jardim Brasil,red
FACULDADE DE TECNOLOGIA DE AMERICANA (FATEC-AM),-23.6956191,-46.5469041,FATEC-AM,www.fatec.edu.br,,Rua Emílio de Menezes - s/n - CEP: 13469-111 - Vila Amorim,red
FACULDADE DE TECNOLOGIA DE ARAÇATUBA (FATEC ARAÇATUBA),-21.1814981,-50.4497096,FATEC Araçatuba,www.fatecaracatuba.edu.br,,Avenida Prestes Maia - 1764 - CEP: 16052-045 - Ipanema,red
FACULDADE DE TECNOLOGIA DE ARARAQUARA (FATEC ARQ),-21.7735451,-48.136589,FATEC ARQ,www.fatecararaquara.edu.br,,Rua Precide Scarpino Martim - 126 - CEP: 14811-373 - Jardim Santa Clara (Vila Xavier),red
FACULDADE DE TECNOLOGIA DE ARARAS,-22.3554176,-47.3340543,-,www.fatecararas.com.br,,Rua Jarbas Leme de Godoy - 875 - CEP: 13606-389 - Jardim José Ometto II,red
FACULDADE DE TECNOLOGIA DE ASSIS (FATEC ASSIS),-22.6472145,-50.4377250999999,FATEC Assis,www.fatecassis.edu.br,,Unesp - Campus Assis - 2100 - CEP: 19806-900 - Parque Universitário,red
FACULDADE DE TECNOLOGIA DE BARUERI (FATEC BARUERI),-23.5080205,-46.8644651,Fatec Barueri,www.fatecbarueri.edu.br,,Avenida Carlos Capriotti - 123 - CEP: 06401-136 - Centro,red
FACULDADE DE TECNOLOGIA DE BAURU (FATEC),-23.6956191,-46.5469041,FATEC,www.fatecbauru.edu.br,,Rua Manoel Bento da Cruz - 30 - CEP: 17015-171 - Centro,red
FACULDADE DE TECNOLOGIA DE BOTUCATU (FATEC BT),-22.9302344,-48.4602885,FATEC BT,www.fatecbt.edu.br,,Avenida José Ítalo Bachi - s/n - CEP: 18606-855 - Jardim Aeroporto,red
FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA,-22.9226007,-46.5458992,-,www.fatecbpaulista.edu.br,,Rua das Indústrias - 130 - CEP: 12926-674 - Uberaba,red
FACULDADE DE TECNOLOGIA DE CAMPINAS (FATEC CAMPINAS),-22.8621273,-47.0990599,FATEC CAMPINAS,http://www.fateccampinas.com.br/,,Avenida Cônego Antônio Rocato - KM 3.5 - CEP: 13082-015 - Chácaras Campos dos Amarais,red
FACULDADE DE TECNOLOGIA DE CAPÃO BONITO (FATEC-CB),-23.9900398,-48.3352203,FATEC-CB,www.fateccb.edu.br,,Avenida Péricles de Freitas - 296 - CEP: 18304-750 - Terras do Imbiruçu,red
FACULDADE DE TECNOLOGIA DE CARAPICUIBA (FATEC),-23.5171833,-46.8354988,FATEC,www.fateccarapicuiba.edu.br,,Avenida Francisco Pignatari - 650 - CEP: 06310-390 - Vila Gustavo Correia,red
FACULDADE DE TECNOLOGIA DE CATANDUVA (FATEC CATANDUVA),-21.1382472,-48.9743569,FATEC Catanduva,www.fateccatanduva.edu.br,,Rua Maranhão - 898 - CEP: 15800-020 - Centro,red
FACULDADE DE TECNOLOGIA DE COTIA (FATEC COTIA),-23.5998172,-46.9233702999999,FATEC COTIA,http://www.fateccotia.edu.br/,,Rua Nelson Raineri - 700 - CEP: 06702-155 - Recanto Vista Alegre,red
FACULDADE DE TECNOLOGIA DE DIADEMA LUIGI PAPAIZ (FATEC DIADEMA),-23.6736289,-46.618921,FATEC DIADEMA,http://www.fatecdiadema.com.br/,,Avenida Luiz Merenda - 503 - CEP: 09931-390 - Campanário,red
FACULDADE DE TECNOLOGIA DE FERRAZ DE VASCONCELOS,-23.5421853,-46.3671204,-,http://fatecferraz.edu.br/,,Rua Carlos de Carvalho - 200 - CEP: 08545-120 - Jardim São João,red
